Flag,Phrase,FlagName,CategoryNumber,ID,RequiredFlags,IncompatibleStatus,IncompatibleUsage,RelatedFlag,RequiredDifficulty,Mandatory,CategoryName,CategoryTextTag,LayerType,ToyUsed,RequiredStatus,RequiresReadyStep,InteractionDefault,UrgeDisabled,MinimumTime,Kink,BasePleasureIntensity,LayerPleasureIntensity
FrenulumVariantTugBackAndForth,<b>tug</b> [ITS/YOUR/SUBNAME] <b>frenulum back and forth</b>,Frenulum Stimulation,2,4,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
FrenulumVariantTease,<b>tease</b> [ITS/YOUR/SUBNAME] <b>frenulum</b>,Frenulum Stimulation,2,5,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
FrenulumVariantRubBetweenFingers,<b>rub</b> [ITS/YOUR/SUBNAME] <b>frenulum between [ITS/YOUR/THEIR] fingers</b>,Frenulum Stimulation,2,6,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
FrenulumVariantPluck,<b>pluck</b> [ITS/YOUR/SUBNAME] <b>frenulum</b>,Frenulum Stimulation,2,7,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
FrenulumVariantPlay,<b>play with</b> [ITS/YOUR/SUBNAME] <b>frenulum</b>,Frenulum Stimulation,2,8,Frenulum Stimulation,PenisBusy,DickHead,,,,Variant,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,1,1
FrenulumForceDefault,,Frenulum Stimulation,3,0,Frenulum Stimulation,PenisBusy,,,,,Pressure,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,-1,-1
FrenulumForceLight,<b>lightly</b>,Frenulum Stimulation,3,1,Frenulum Stimulation,PenisBusy,,,,,Pressure,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,0,0
FrenulumForceHard,<b>intensely</b>,Frenulum Stimulation,3,2,Frenulum Stimulation,PenisBusy,,,,,Pressure,[INTERACTFRENULUMSTIMULATION],Penis,,,,Yes,,,20,3,3
PalmingSpeedDefault,,Palming,1,0,Palming,PenisBusy,,,,,Speed,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingSpeedFast,<b>quickly</b>,Palming,1,1,Palming,PenisBusy,,,,,Speed,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingSpeedSlow,<b>slowly</b>,Palming,1,2,Palming,PenisBusy,,,,,Speed,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingVariantDefault,<b>palm</b> the <b>head</b> of [ITS/YOUR/SUBNAME] <b>dick</b>,Palming,2,0,Palming,PenisBusy,DickHead,,,M,Variant,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingVariantGeneric,<b>palm</b> the <b>head</b> of [ITS/YOUR/SUBNAME] <b>dick</b>,Palming,2,1,Palming,PenisBusy,DickHead,,,,Variant,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingVariantTwisting,<b>palm</b> the <b>head</b> of [ITS/YOUR/SUBNAME] <b>dick</b> using <b>twisting motions</b>,Palming,2,2,Palming,PenisBusy,DickHead,,,,Variant,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingVariantSideToSide,<b>palm</b> the <b>head</b> of [ITS/YOUR/SUBNAME] <b>dick side to side</b>,Palming,2,3,Palming,PenisBusy,DickHead,,,,Variant,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingVariantUpAndDown,<b>palm</b> the <b>head</b> of [ITS/YOUR/SUBNAME] <b>dick up and down</b>,Palming,2,4,Palming,PenisBusy,DickHead,,,,Variant,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingVariantJustTheTip,<b>palm just the tip</b> of [ITS/YOUR/SUBNAME] <b>dick</b>,Palming,2,5,Palming,PenisBusy,DickHead,,,,Variant,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingVariantSlide,<b>slide</b> [ITS/YOUR/THEIR] <b>palm across and off</b> the <b>head</b> of [ITS/YOUR/SUBNAME] <b>dick</b>,Palming,2,6,Palming,PenisBusy,DickHead,,,,Variant,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingForceDefault,,Palming,3,0,Palming,PenisBusy,,,,,Pressure,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingForceLight,<b>lightly</b>,Palming,3,1,Palming,PenisBusy,,,,,Pressure,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
PalmingForceHard,<b>roughly</b>,Palming,3,2,Palming,PenisBusy,,,,,Pressure,[INTERACTPALMING],Palming,,,,Yes,,,20,-1,-1
BallsStimulationSpeedDefault,,Balls Stimulation,1,0,Balls Stimulation,BallsBusy,,,,,Speed,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,-1
BallsStimulationSpeedFast,<b>quickly</b>,Balls Stimulation,1,1,Balls Stimulation,BallsBusy,,,,,Speed,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,3
BallsStimulationSpeedSlow,<b>slowly</b>,Balls Stimulation,1,2,Balls Stimulation,BallsBusy,,,,,Speed,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,0
BallsStimulationVariantDefault,<b>play with</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,0,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,M,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,-1
BallsStimulationVariantJuggle,<b>juggle</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,1,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,,,,0,-1,1
BallsStimulationVariantFondle,<b>fondle</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,2,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,1
BallsStimulationVariantTickle,<b>tickle</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,3,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,,,,0,-1,1
BallsStimulationVariantRub,<b>rub</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,4,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,1
BallsStimulationVariantCircle,<b>circle</b> [ITS/YOUR/THEIR] <b>fingers</b> around [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,5,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,1
BallsStimulationVariantStroke,<b>stroke</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,6,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,1
BallsStimulationVariantKnead,<b>knead</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,7,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,,,,0,-1,1
BallsStimulationVariantPlayWith,<b>play with</b> [ITS/YOUR/SUBNAME] <b>balls</b>,Balls Stimulation,2,8,Balls Stimulation,BallsBusy,"BallsLeft, BallsRight",,,,Variant,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,1
BallsStimulationForceDefault,,Balls Stimulation,3,0,Balls Stimulation,BallsBusy,,,,,Pressure,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,-1
BallsStimulationForceLight,<b>lightly</b>,Balls Stimulation,3,1,Balls Stimulation,BallsBusy,,,,,Pressure,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,0
BallsStimulationForceHard,<b>roughly</b>,Balls Stimulation,3,2,Balls Stimulation,BallsBusy,,,,,Pressure,[INTERACTBALLSSTIMULATION],Balls,,,,Yes,,,0,-1,2
ClitStimulationSpeedDefault,,Clitoral Stimulation,1,0,Clitoral Stimulation,ClitBusy,,,,,Speed,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,-1,-1
ClitStimulationSpeedFast,<b>quickly</b>,Clitoral Stimulation,1,1,Clitoral Stimulation,ClitBusy,,,,,Speed,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,3,3
ClitStimulationSpeedSlow,<b>slowly</b>,Clitoral Stimulation,1,2,Clitoral Stimulation,ClitBusy,,,,,Speed,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,0,0
ClitStimulationVariantDefault,<b>play with</b> [ITS/YOUR/SUBNAME] <b>clit</b>,Clitoral Stimulation,2,0,Clitoral Stimulation,ClitBusy,Clit,,,M,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,-1,-1
ClitStimulationVariantCircularMotion,<b>rub</b> [ITS/YOUR/SUBNAME] <b>clit</b> with <b>circular motions</b>,Clitoral Stimulation,2,1,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,3,3
ClitStimulationVariantRubBackAndForth,<b>rub</b> [ITS/YOUR/SUBNAME] <b>clit side to side</b>,Clitoral Stimulation,2,2,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,3,3
ClitStimulationVariantRubFrontAndBack,<b>rub</b> [ITS/YOUR/SUBNAME] <b>clit up and down</b>,Clitoral Stimulation,2,3,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,3,3
ClitStimulationVariantTaps,<b>tap</b> [ITS/YOUR/SUBNAME] <b>clit</b>,Clitoral Stimulation,2,4,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,1,1
ClitStimulationVariantFlicks,<b>flick</b> [ITS/YOUR/SUBNAME] <b>clit</b>,Clitoral Stimulation,2,5,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,1,1
ClitStimulationVariantRubBetweenFingers,<b>rub</b> [ITS/YOUR/SUBNAME] <b>clit between [ITS/YOUR/THEIR] fingers</b>,Clitoral Stimulation,2,6,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,3,3
ClitStimulationVariantTease,<b>tease</b> [ITS/YOUR/SUBNAME] <b>clit</b>,Clitoral Stimulation,2,7,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,1,1
ClitStimulationVariantGeneric,<b>play with</b> [ITS/YOUR/SUBNAME] <b>clit</b>,Clitoral Stimulation,2,8,Clitoral Stimulation,ClitBusy,Clit,,,,Variant,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,2,2
ClitStimulationForceDefault,,Clitoral Stimulation,3,0,Clitoral Stimulation,ClitBusy,,,,,Pressure,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,-1,-1
ClitStimulationForceLight,<b>lightly</b>,Clitoral Stimulation,3,1,Clitoral Stimulation,ClitBusy,,,,,Pressure,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,0,0
ClitStimulationForceHard,<b>firmly</b>,Clitoral Stimulation,3,2,Clitoral Stimulation,ClitBusy,,,,,Pressure,[INTERACTCLITORALSTIMULATION],Clit,,,,Yes,,,0,3,3
VaginalFingeringNumberDefault,use <b>[ITS/YOUR/THEIR] fingers</b> to,Vaginal Fingering,1,0,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,M,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,-1,-1
VaginalFingeringNumberOne,use <b>one finger</b> to,Vaginal Fingering,1,1,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,0,0
VaginalFingeringNumberTwo,use <b>two fingers</b> to,Vaginal Fingering,1,2,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,1,1
VaginalFingeringNumberThree,use <b>three fingers</b> to,Vaginal Fingering,1,3,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,0,2,2
VaginalFingeringNumberFour,use <b>four fingers</b> to,Vaginal Fingering,1,4,Vaginal Fingering,VaginalBusy,,,Vaginal_2_0,,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,0,3,3
VaginalFingeringNumberCrossed,use <b>crossed fingers</b> to,Vaginal Fingering,1,5,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,2,2
VaginalFingeringNumberFist,use <b>[ITS/YOUR/THEIR] fist</b> to,Vaginal Fingering,1,6,Vaginal Fingering,VaginalBusy,Fist,,Vaginal_3_0,,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,80,3,3
VaginalFingeringNumberGeneric,use <b>[ITS/YOUR/THEIR] fingers</b> to,Vaginal Fingering,1,7,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Fingers,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,2,2
VaginalFingeringSpeedDefault,,Vaginal Fingering,2,0,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Speed,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,-1,-1
VaginalFingeringSpeedFast,<b>quickly</b>,Vaginal Fingering,2,1,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Speed,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,3,3
VaginalFingeringSpeedSlow,<b>slowly</b>,Vaginal Fingering,2,2,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Speed,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,0,0
VaginalFingeringDepthDefault,<b>play with</b> [ITS/YOUR/SUBNAME] <b>pussy</b>,Vaginal Fingering,3,0,Vaginal Fingering,VaginalBusy,Vagina,,Vaginal_1_0,M,Depth,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,-1,-1
VaginalFingeringDepthTeaseTheOutside,tease the <b>outside</b> of [ITS/YOUR/SUBNAME] <b>pussy</b>,Vaginal Fingering,3,1,Vaginal Fingering,VaginalBusy,"LabiaLeft, LabiaRight, Fist",,Vaginal_1_0,,Depth,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,1,1
VaginalFingeringDepthShallow,<b>play with</b> [ITS/YOUR/SUBNAME] <b>pussy shallowly</b>,Vaginal Fingering,3,2,Vaginal Fingering,VaginalBusy,Vagina,,Vaginal_1_0,,Depth,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,1,1
VaginalFingeringDepthDeep,<b>play with</b> [ITS/YOUR/SUBNAME] <b>pussy deeply</b>,Vaginal Fingering,3,3,Vaginal Fingering,VaginalBusy,Vagina,,Vaginal_1_0,,Depth,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,3,3
VaginalFingeringDepthGeneric,<b>play with</b> [ITS/YOUR/SUBNAME] <b>pussy</b>,Vaginal Fingering,3,4,Vaginal Fingering,VaginalBusy,Vagina,,Vaginal_1_0,,Depth,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,2,2
VaginalFingeringVariantDefault,,Vaginal Fingering,4,0,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,-1,-1
VaginalFingeringVariantStraightThrusts,by <b>thrusting</b>,Vaginal Fingering,4,1,Vaginal Fingering,VaginalBusy,"LabiaLeft, LabiaRight",,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,2,2
VaginalFingeringVariantWaggleFingers,by <b>waggling around</b>,Vaginal Fingering,4,2,Vaginal Fingering,VaginalBusy,Fist,,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,0,1,1
VaginalFingeringVariantCircularMotion,using <b>circular motions</b>,Vaginal Fingering,4,3,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,0,1,1
VaginalFingeringVariantCircularThrusts,using <b>circular thrusts</b>,Vaginal Fingering,4,4,Vaginal Fingering,VaginalBusy,"LabiaLeft, LabiaRight",,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,0,2,2
VaginalFingeringVariantSpreadFingers,by <b>spreading [ITSELF/YOURSELF/SUBNAME] apart</b>,Vaginal Fingering,4,5,Vaginal Fingering,VaginalBusy,,,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,0,-1,-1
VaginalFingeringVariantSpreadThrusts,using <b>spreading thrusts</b>,Vaginal Fingering,4,6,Vaginal Fingering,VaginalBusy,"LabiaLeft, LabiaRight",,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,,,,0,1,1
VaginalFingeringVariantRubGSpot,by <b>rubbing</b> [ITS/YOUR/SUBNAME] <b>G-Spot</b>,Vaginal Fingering,4,7,Vaginal Fingering,VaginalBusy,"LabiaLeft, LabiaRight",,Vaginal_1_0,,Variant,[INTERACTVAGINALFINGERING],Vaginal,,,,Yes,,,0,3,3
AnalFingeringNumberDefault,use <b>[ITS/YOUR/THEIR] fingers</b> to,Anal Fingering,1,0,analfingering,AnalBusy,,,Anal_1_0,M,Fingers,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,-1
AnalFingeringNumberOne,use <b>one finger</b> to,Anal Fingering,1,1,analfingering,AnalBusy,,,Anal_1_0,,Fingers,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,0
AnalFingeringNumberTwo,use <b>two fingers</b> to,Anal Fingering,1,2,analfingering,AnalBusy,,,Anal_1_0,,Fingers,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,1
AnalFingeringNumberThree,use <b>three fingers</b> to,Anal Fingering,1,3,analfingering,AnalBusy,,,Anal_1_0,,Fingers,[INTERACTANALFINGERING],Anal,,,,,,,40,-1,2
AnalFingeringNumberFour,use <b>four fingers</b> to,Anal Fingering,1,4,analfingering,AnalBusy,,,Anal_2_0,,Fingers,[INTERACTANALFINGERING],Anal,,,,,,,40,-1,3
AnalFingeringNumberCrossed,use <b>crossed fingers</b> to,Anal Fingering,1,5,analfingering,AnalBusy,,,Anal_1_0,,Fingers,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,2
AnalFingeringNumberFist,use <b>[ITS/YOUR/THEIR] fist</b> to,Anal Fingering,1,6,analfingering,AnalBusy,Fist,,Anal_3_0,,Fingers,[INTERACTANALFINGERING],Anal,,,,,,,80,-1,3
AnalFingeringNumberGeneric,use <b>[ITS/YOUR/THEIR] fingers</b> to,Anal Fingering,1,7,analfingering,AnalBusy,,,Anal_1_0,,Fingers,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,2
AnalFingeringSpeedDefault,,Anal Fingering,2,0,analfingering,AnalBusy,,,Anal_1_0,,Speed,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,-1
AnalFingeringSpeedFast,<b>quickly</b>,Anal Fingering,2,1,analfingering,AnalBusy,,,Anal_1_0,,Speed,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,3
AnalFingeringSpeedSlow,<b>slowly</b>,Anal Fingering,2,2,analfingering,AnalBusy,,,Anal_1_0,,Speed,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,0
AnalFingeringDepthDefault,<b>play with</b> [ITS/YOUR/SUBNAME] <b>ass</b>,Anal Fingering,3,0,analfingering,AnalBusy,Anal,,Anal_1_0,M,Depth,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,-1
AnalFingeringDepthTeaseTheOutside,tease the <b>outside</b> of [ITS/YOUR/SUBNAME] <b>butthole</b>,Anal Fingering,3,1,analfingering,AnalBusy,"Butthole, Fist",,Anal_1_0,,Depth,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,1
AnalFingeringDepthShallow,<b>play with</b> [ITS/YOUR/SUBNAME] <b>ass shallowly</b>,Anal Fingering,3,2,analfingering,AnalBusy,Anal,,Anal_1_0,,Depth,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,1
AnalFingeringDepthDeep,<b>play with</b> [ITS/YOUR/SUBNAME] <b>ass deeply</b>,Anal Fingering,3,3,analfingering,AnalBusy,Anal,,Anal_1_0,,Depth,[INTERACTANALFINGERING],Anal,,,,Yes,,,40,-1,3
