Flag,Interactions,Rename Toy,SinglePart,Status,Task Edging Behaviors,Task Layer Behaviors,Task Rate Multiplier,Task Type Modification,FlagType,Display Flag
ORDERTYPEOINK,0,0,0,0,0,0,0,0,Other,Orders: Oink
CEIJUICE,0,0,0,0,0,0,0,0,Other,Change Cum To Juices
Scat,0,0,0,0,0,0,2,1,Kink,Scat
Skunk Girl,0,0,0,0,0,0,2,1,Kink,Skunk Girl
Panty Sharting,0,0,0,0,0,0,2,1,Kink,Panty Sharting
Stinky Socks,0,0,0,0,0,0,2,1,Kink,Stinky Socks
Stinky Armpits,0,0,0,0,0,0,2,1,Kink,Stinky Armpits
Her Watersports,0,0,0,0,0,0,2,1,Kink,Her Watersports
No Blackout Smothering,0,0,0,0,0,0,0,0,Kink,No Blackout Smothering
Low Gas,0,0,0,0,0,0,0,0,Kink,Low Gas
Medium Gas,0,0,0,0,0,0,0,0,Kink,Medium Gas
High Gas,0,0,0,0,0,0,0,0,Kink,High Gas
Constant Gas,0,0,0,0,0,0,0,0,Kink,Constant Gas
Random Gas,0,0,0,0,0,0,0,0,Kink,Random Gas
