EventID,EventNames,EventRequiredFeatures,EventText,EventPreRequirements,EventMultiplier,EventPossibleScenes,EventForcedEmotion,EventClothed,EventRewardPunishment,EventAppliedModifiers,EventIncompatibleModifiers,EventRequiredModifiers,EventToggleDiff,EventKink,EventIncompatibleLayers,EventCountedPossible
ID40,MediumVaginalInsertableInteraction,mediumvaginalinsertable,[PREAMBLE/DOMNAME] [INTERACTMEDIUMVAGINALINSERTABLE],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,Vaginal_1_2,40,"Vaginal, Humping",Yes
ID41,LargeVaginalInsertableInteraction,largevaginalinsertable,[PREAMBLE/DOMNAME] [INTERACTLARGEVAGINALINSERTABLE],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,Vaginal_1_3,80,"Vaginal, Humping",Yes
ID42,VibratingVaginalInsertableInteraction,vibratingvaginalinsertable,[PREAMBLE/DOMNAME] [INTERACTVIBRATINGVAGINALINSERTABLE],ReadyStep,5,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,Vaginal_1_0,0,"Vaginal, Humping",Yes
ID43,KnottedVaginalInsertableInteraction,knottedvaginalinsertable,[PREAMBLE/DOMNAME] [INTERACTKNOTTEDVAGINALINSERTABLE],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,Vaginal_1_3,80,"Vaginal, Humping",Yes
ID44,InsertedVaginalVibeInteraction,Inserted Vaginal Vibe,[PREAMBLE/DOMNAME] [INTERACTINSERTEDVAGINALVIBE],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,,Inserted Vaginal Vibe,Vaginal_1_0,20,"Vaginal, Humping",Yes
ID45,CunnilingusInteraction,"Cunnilingus, Service Sleeve",[PREAMBLE/SUBNAME] [INTERACTCUNNILINGUS],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,MouthBusy,,,20,"Service, Sleeve Toy, Service Sleeve, Oral",Yes
ID46,OralToyInteraction,Oral Toy,[PREAMBLE/SUBNAME] [INTERACTORALTOY],ReadyStep,4,"Standing, TimedAnimations",,Yes,,,MouthBusy,,Oral_1_0,20,"Oral, Service",Yes
ID47,HandjobInteraction,"Handjob, Service Toy",[PREAMBLE/SUBNAME] [INTERACTHANDJOB],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,,,,40,Service,Yes
ID48,TitjobInteraction,"Titjob, Service Toy",[PREAMBLE/SUBNAME] [INTERACTTITJOB],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,BreastsBusy,,,40,"Service, Breasts",Yes
ID49,ThighjobInteraction,"Thighjob, Service Toy",[PREAMBLE/SUBNAME] [INTERACTTHIGHJOB],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,LegsBusy,,,40,"Service, Legs",Yes
ID50,AssjobInteraction,"Assjob, Service Toy",[PREAMBLE/SUBNAME] [INTERACTASSJOB],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,,,,40,"Service, Anal",Yes
ID51,PussyjobInteraction,"Pussyjob, Service Toy",[PREAMBLE/SUBNAME] [INTERACTPUSSYJOB],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,"ClitBusy, VaginalBusy",,,40,"Service, Clit, Vaginal, Humping",Yes
ID52,FootjobInteraction,"Footjob, Service Toy",[PREAMBLE/SUBNAME] [INTERACTFOOTJOB],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,FeetBusy,,,60,"Service, Feet",Yes
ID53,PitjobInteraction,"Pitjob, Service Toy",[PREAMBLE/SUBNAME] [INTERACTPITJOB],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,,,,60,Service,Yes
ID54,TaintInteraction,Taint,[PREAMBLE/DOMNAME] [INTERACTTAINT],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,,,,40,Taint,Yes
ID55,HumpingInteraction,Humping,[PREAMBLE/SUBNAME] [INTERACTHUMPING],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,,,,40,"Humping, Penis, Palming, Balls, Clit, Vaginal, Sleeve Toy, Panties, Socks",Yes
ID56,FootwearInteraction,Footwear,[PREAMBLE/SUBNAME] [INTERACTFOOTWEAR],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,,,,80,Footwear,Yes
ID57,CaressInteraction,Caress,[PREAMBLE/DOMNAME] [INTERACTCARESS],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,,,,0,Caress,Yes
ID58,NippleClampsInteraction,Nipple Clamps,[PREAMBLE/DOMNAME] [INTERACTNIPPLECLAMPS],ReadyStep,3,"Standing, TimedAnimations",,Yes,Punishment,,,NippleClamps,Pain_1_0,60,"Pain, Nipples",Yes
ID59,ChewToyInteraction,Chew Toy,[PREAMBLE] [INTERACTCHEWTOY],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,MouthBusy,,,40,Oral,Yes
ID60,PantiesInteraction,Panties,[PREAMBLE] [INTERACTPANTIES],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,,,,60,"Panties, Humping",Yes
ID61,SocksInteraction,Socks,[PREAMBLE] [INTERACTSOCKS],ReadyStep,2,"Standing, TimedAnimations",,Yes,,,,,,60,"Socks, Humping",Yes
ID62,StraponInteraction,Strapon,[PREAMBLE] [INTERACTSTRAPON],,4,"Standing, TimedAnimations",,Yes,,,,Strapon,,80,"Strapon, Sleeve Toy, Service Sleeve",Yes
ID63,LeashInteraction,Leash,[PREAMBLE] [INTERACTLEASH],,2,"Standing, TimedAnimations",,Yes,,,,Leashed,,40,Leash,Yes
ID64,VaginalPlugInteractionNotPlugged,vaginalplug,[PREAMBLE] [INTERACTVAGINALPLUG],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,"VaginalBusy, ClitBusy, NoNotPluggedInteractions",,Vaginal_1_0,40,"Plug, Vaginal, Clit, Humping",Yes
ID65,VaginalPlugInteractionPlugged,vaginalplug,[PREAMBLE] [INTERACTVAGINALPLUG],,3,"Standing, TimedAnimations",,Yes,,,NoPluggedInteractions,Vaginal Plug,Vaginal_1_0,40,"Plug, Vaginal, Clit, Humping",Yes
ID66,DoubleAnalInsertableInteraction,doubleanalinsertable,[PREAMBLE] [INTERACTDOUBLEANALINSERTABLE],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,AnalBusy,,Anal_1_3,80,All,Yes
ID67,DoubleVaginalInsertableInteraction,doublevaginalinsertable,[PREAMBLE] [INTERACTDOUBLEVAGINALINSERTABLE],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,Vaginal_1_3,80,All,Yes
ID68,DoubleOralInsertableInteraction,doubleoralinsertable,[PREAMBLE] [INTERACTDOUBLEORALINSERTABLE],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,MouthBusy,,Oral_1_3,80,All,Yes
ID69,MouthFingeringInteraction,Mouth Fingering,[PREAMBLE] [INTERACTMOUTHFINGERING],,3,"Standing, TimedAnimations",,Yes,,,MouthBusy,,Oral_1_0,20,"Oral, Service",Yes
ID70,TicklerInteraction,Tickler,[PREAMBLE/DOMNAME] [INTERACTTICKLER],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,,,,0,Caress,Yes
ID71,TediumInteraction,Tedium,[PREAMBLE] [INTERACTTEDIUM],ReadyStep,2,"Standing, TimedAnimations",,Yes,Punishment,,LegsBusy,,,0,All,
ID72,ExerciseCardioInteraction,ExerciseCardio,[PREAMBLE] [INTERACTEXERCISECARDIO],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,LegsBusy,,,0,All,
ID73,ExerciseYogaInteraction,ExerciseYoga,[PREAMBLE] [INTERACTEXERCISEYOGA],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,LegsBusy,,,0,All,
ID74,PenisPumpInteraction,Penis Pump,[PREAMBLE] [INTERACTPENISPUMP],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,PenisBusy,,,60,All,
ID75,ClitPumpInteraction,Clit Pump,[PREAMBLE] [INTERACTCLITPUMP],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,ClitBusy,,,60,All,
ID76,VaginaPumpInteraction,Vagina Pump,[PREAMBLE] [INTERACTVAGINAPUMP],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,VaginalBusy,,,60,All,
ID77,NipplePumpInteraction,Nipple Pump,[PREAMBLE] [INTERACTNIPPLEPUMP],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,NipplesBusy,,,60,All,
ID78,SybianInteraction,Sybian,[PREAMBLE] [INTERACTSYBIAN],,5,"Standing, TimedAnimations",,Yes,,,,Sybian,,40,"Sybian, Anal, Vaginal, Humping",
ID79,PerformanceInteraction,Performance,[PREAMBLE] [INTERACTPERFORMANCE],ReadyStep,3,"Standing, TimedAnimations",,Yes,,,,,,60,All,
ID80,IceCubesInteraction,Ice Cubes,[PREAMBLE] [INTERACTICECUBES],ReadyStep,1,"Standing, TimedAnimations",,Yes,,,,,,40,"Penis, Palming, Balls, Clit, Vaginal, Anal, Nipples, Breasts",
ID81,HumblerCrawl,Humbler,[PREAMBLE] crawl around with [ITS/YOUR] [HUMBLER],ReadyStep,1,Special_Animate_GetDown,,Yes,Punishment,,,Humbler,Pain_1_1,60,"Pain, Balls, Humping",
ID82,HumblerStand,Humbler,[PREAMBLE] stand up as straight as [IT/YOU] can with [ITS/YOUR] [HUMBLER],ReadyStep,1,TimedAnimations,,Yes,Punishment,,,Humbler,Pain_1_1,60,"Pain, Balls, Humping",
ID83,HumblerWalk,Humbler,[PREAMBLE] walk around with [ITS/YOUR] [HUMBLER],ReadyStep,1,TimedAnimations,,Yes,Punishment,,,Humbler,Pain_1_1,60,"Pain, Balls, Humping",
ID84,ChopsticksPress,Chopsticks,[PREAMBLE] squeeze the [CHOPSTICKS],,1,"Standing, TimedAnimations",,Yes,Punishment,,,Chopsticks,Pain_2_1,60,Oral,
ID85,FuckingMachine1,Fucking Machine,[PREAMBLE] enjoy [ITS/YOUR] [FUCKING MACHINE] on high speed,ReadyStep,1,"Standing, TimedAnimations",,Yes,,,"VaginalBusy, AnalBusy, LegsBusy",,,40,"Anal, Vaginal, Humping",
ID86,FuckingMachine2,Fucking Machine,[PREAMBLE] enjoy [ITS/YOUR] [FUCKING MACHINE] on low speed,ReadyStep,1,"Standing, TimedAnimations",,Yes,,,"VaginalBusy, AnalBusy, LegsBusy",,,40,"Anal, Vaginal, Humping",
ID87,FuckingMachineStrokes1,"Fucking Machine, Penis Stimulation",[PREAMBLE] enjoy [ITS/YOUR] [FUCKING MACHINE] on high speed and match it with strokes,ReadyStep,1,"Standing, TimedAnimations",,Yes,,,"AnalBusy, LegsBusy, PenisBusy",,Anal_2_1,40,"Anal, Penis, Palming, Humping",
ID88,FuckingMachinesStrokes2,"Fucking Machine, Penis Stimulation",[PREAMBLE] enjoy [ITS/YOUR] [FUCKING MACHINE] on low speed and match it with strokes,ReadyStep,1,"Standing, TimedAnimations",,Yes,,,"AnalBusy, LegsBusy, PenisBusy",,Anal_2_0,40,"Anal, Penis, Palming, Humping",
ID89,WorshipKissFeet,Feet,[PREAMBLE] kiss her feet,,5,"Special_Animate_Concern, Special_NoIK_Stomp1",,No,Reward,,MouthBusy,,,60,"Oral, Service",
ID90,WorshipKissArmpit,Armpit,[PREAMBLE] kiss her armpit,,5,Special_Animate_BackHandsOver,,No,Reward,,MouthBusy,,,60,"Oral, Service",
ID91,WorshipLickFeet,Feet,[PREAMBLE] lick her feet,,5,"Special_Animate_Concern, Special_NoIK_Stomp1",,No,Reward,,MouthBusy,,,60,"Oral, Service",
ID92,WorshipLickArmpit,Armpit,[PREAMBLE] lick her armpit,,5,Special_Animate_BackHandsOver,,No,Reward,,MouthBusy,,,60,"Oral, Service",
ID93,WorshipKissButt,Butt Worship,[PREAMBLE] kiss her butt.,,5,Special_Animate_Concern[ButtWorship],,No,Reward,,MouthBusy,,,40,"Oral, Service",
ID94,WorshipLickButt,Butt Worship,[PREAMBLE] lick her butt.,,5,Special_Animate_Concern[ButtWorship],,No,Reward,,MouthBusy,,,40,"Oral, Service",
ID95,BouncyReward,,[PREAMBLE/DOMNAME] [INTERACTREWARD] to the rhythm of her bounces,,3,Special_NoIK_Bouncy,,No,Reward,,,,,0,All,
ID96,HipdanceReward,,[PREAMBLE/DOMNAME] [INTERACTREWARD] to the rhythm of her hips,,3,Special_NoIK_HipDance,,No,Reward,,,,,0,All,
ID97,StrokingRewardMatch,Futa,"[INTERACTREWARD], matching her pace",,3,Special_Animate_SelfPleasure1,,No,Reward,,,,,0,All,
ID98,HandShouldersReward,,"[PREAMBLE/DOMNAME] [INTERACTREWARD], maintaining eye contact the whole time",,1,Special_Animate_HandShoulders,,No,Reward,,,,,40,All,
ID99,FaceSit,Smothering,[PREAMBLE] [INTERACTREWARD],ReadyStep,1,Special_NoIK_FaceSit,,Yes,Reward,,,,,20,All,
ID100,ButtFaceSit,Smothering,[PREAMBLE] [INTERACTREWARD],ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,20,All,
ID101,FaceStomp,"Smothering, Feet",[PREAMBLE] [INTERACTREWARD],ReadyStep,1,Special_NoIK_FaceStomp,,Yes,Reward,,,,,40,All,
ID102,BoobSmother,Smothering,[PREAMBLE] [INTERACTREWARD],ReadyStep,1,Special_NoIK_BoobSmother,,Yes,Reward,,,,,20,All,
ID103,PitSmother,"Smothering, Armpit",[PREAMBLE] [INTERACTREWARD],ReadyStep,1,Special_NoIK_PitSmother,,Yes,Reward,,,,,40,All,
ID104,FaceSitService,"Smothering, Cunnilingus, Service Sleeve",[PREAMBLE] [INTERACTCUNNILINGUS],ReadyStep,1,Special_NoIK_FaceSit,,Yes,Reward,,MouthBusy,,,20,All,
ID105,ButtFaceSitService,"Smothering, Cunnilingus, Service Sleeve",[PREAMBLE] [INTERACTCUNNILINGUS],ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,MouthBusy,,,20,All,
ID106,FaceStompFootwear,"Smothering, Footwear",[PREAMBLE] [INTERACTFOOTWEAR],ReadyStep,1,Special_NoIK_FaceStomp,,Yes,Reward,,,,,80,All,
ID107,ButtFaceSitFart,"Farting, Smothering",[PREAMBLE] take her butt in your face while she farts on you.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID108,ButtFaceSitFartHold,"Farting, Smothering",[PREAMBLE] keep her butt pressed to your face as she lets out a long fart.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID109,ButtFaceSitFartService,"Farting, Smothering, Cunnilingus, Service Sleeve",[PREAMBLE] service her while she sits on your face and farts.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,MouthBusy,,,2,All,
ID110,FaceSitFart,"Farting, Smothering",[PREAMBLE] stay under her as she sits on your face and farts.,ReadyStep,1,Special_NoIK_FaceSit,,Yes,Reward,,,,,0,All,
ID111,FartTeaseClose,Farting,[PREAMBLE] stay close while she aims a fart at your face.,ReadyStep,1,Special_Animate_Concern[ButtWorship],,No,Reward,,,,,2,All,
ID112,FartButtWorship,"Farting, Butt Worship",[PREAMBLE] kiss her butt right after she farts.,,1,Special_Animate_Concern[ButtWorship],,No,Reward,,MouthBusy,,,2,"Oral, Service",
ID113,FartLickButt,"Farting, Butt Worship",[PREAMBLE] lick her butt while she farts in your face.,,1,Special_Animate_Concern[ButtWorship],,No,Reward,,MouthBusy,,,2,"Oral, Service",
ID114,FartOpenMouth,"Farting, Smothering",[PREAMBLE] open your mouth under her butthole and take her fart.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID115,FartNosePress,"Farting, Smothering",[PREAMBLE] press your nose between her cheeks while she farts on you.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID116,FartDeepInhale,"Farting, Smothering",[PREAMBLE] breathe in deep as she farts straight onto your face.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID117,FartThankHer,"Farting, Smothering",[PREAMBLE] thank her out loud for each fart she gives you.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID118,FartBegMore,Farting,[PREAMBLE] beg her for another fart in your face.,,1,Special_Animate_Concern[ButtWorship],,No,Reward,,,,,2,All,
ID119,FartCountThem,"Farting, Smothering",[PREAMBLE] count her farts out loud while she sits on your face.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID120,FartHoldBreath,"Farting, Smothering",[PREAMBLE] hold your breath through a long fart then gasp for her gas.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID121,FartLickHoleAfter,"Farting, Butt Worship",[PREAMBLE] lick her butthole right after she farts on you.,,1,Special_Animate_Concern[ButtWorship],,No,Reward,,MouthBusy,,,2,"Oral, Service",
ID122,FartSpreadAim,"Farting, Butt Worship",[PREAMBLE] spread her cheeks and keep your face ready while she aims a fart at you.,,1,Special_Animate_Concern[ButtWorship],,No,Reward,,,,,2,"Oral, Service",
ID123,FartSniffWorship,"Farting, Butt Worship",[PREAMBLE] sniff deep between her cheeks after she farts.,,1,Special_Animate_Concern[ButtWorship],,No,Reward,,,,,2,"Oral, Service",
ID124,FartFaceTrap,"Farting, Smothering",[PREAMBLE] stay trapped under her ass while she fills your face with farts.,ReadyStep,1,Special_NoIK_ButtFaceSit,,Yes,Reward,,,,,0,All,
ID125,FartEyeContactGas,"Farting, Smothering",[PREAMBLE] keep eye contact while she lowers her butt and farts on your face.,ReadyStep,1,Special_NoIK_FaceSit,,Yes,Reward,,,,,0,All,
ID126,FaceSitBurp,"Burping, Smothering",[PREAMBLE] stay under her face while she burps straight into yours.,ReadyStep,1,Special_NoIK_FaceSit,,Yes,Reward,,,,,10,All,
ID127,BoobSmotherBurp,"Burping, Smothering",[PREAMBLE] keep your face buried in her tits while she burps over you.,ReadyStep,1,Special_NoIK_BoobSmother,,Yes,Reward,,,,,10,All,
ID128,BurpInFace,Burping,[PREAMBLE] open your mouth and take her burp in your face.,ReadyStep,1,Special_NoIK_FaceSit,,Yes,Reward,,,,,12,All,
ID129,BurpHoldClose,"Burping, Smothering",[PREAMBLE] stay close while she holds you and burps in your face.,ReadyStep,1,Special_Animate_HandShoulders,,No,Reward,,,,,14,All,
