Tag,Explanation
Balls Torture,Would you believe me if I said it doesn't involve hurting your balls? (Implement related interactions require enabling the matching Toy)
Clit & Vagina Torture,Can you guess what this focuses on? (Implement related interactions require enabling the matching Toy)
Nipple Torture,Unpleasantly tease your nipples (Implement related interactions require enabling the matching Toy)
Breast Torture,Want to abuse your breasts? Look no further! (Implement related interactions require enabling the matching Toy)
Pain,"I'm not gonna lie, this toggle is all painful shit (Implement related interactions require enabling the matching Toy)"
Tedium,Maybe you find it relaxing. I find it boring. Super boring.
Cunnilingus,Use your mouth and hands to simulate performing oral sex (Requires Service Sleeve)
Handjob,Service her using your hands (Requires Service Toy)
Blowjob,Service her using your mouth (Requires Service Toy)
Titjob,Service her using your tits (Requires Service Toy)
Thighjob,Service her using your thighs (Requires Service Toy)
Assjob,Service her using your ass (Requires Service Toy)
Pitjob,Service her using your armpit (Requires Service Toy)
Footjob,Service her using your feet (Requires Service Toy)
Pussyjob,Service her using your pussy (Requires Service Toy)
Mouth Fingering,Put your fingers in your mouth
Self-Degradation,Tell her how pathetic you are (Requires the Speaking Urge or Writing Kink)
Worship,Let her know how great she is (Requires the Speaking Urge or Writing Kink)
Begging,Not to be confused with choosing (Requires the Speaking Urge or Writing Kink)
Apology,You know what you did (Requires the Speaking Urge or Writing Kink)
Self-Affirmation,Like a boss! (Requires the Speaking Urge or Writing Kink)
Lust,Verbalize your arousal (Requires the Speaking Urge or Writing Kink)
Appreciation,Thank her for doing such fine work (Requires the Speaking Urge or Writing Kink)
Urges,"Quick interactions with her during tasks. When you feel an urge, click on it (or press Spacebar on PC) to give in. Use the gear icon to customize."
Mind Control,Urges are assumed to always be acted upon and will automatically be pressed without player input.
Drooling,Drooling all over yourself.
Breath Play,Hold your breath for various durations.
Kegels,Do Kegel exercises to improve your endurance.
Moaning,Succu-chan wants to hear you moan for her. The speaking toggle's drunk cousin.
Speaking,"Succu-chan wants to hear you - Customize what you say using the Speaking Kinks. You feel the urge to say ""Thank you Question Mark""."
Eye Contact,Maintain eye contact with her. Don't let yourself be distra - HEY my eyes are up here!
Puppy-speak,Theme speaking around being a puppy.
Kitty-speak,Theme speaking around being a kitty.
Pig-speak,Theme speaking around being a pig.
Multiple Penetration,Have her make a sandwich - with you as the meat!
Simultaneous Anal & Oral,"If you think about it, it's basically the two ends of a long tube"
Simultaneous Anal & Vaginal,Known in some circles as a DP
Simultaneous Vaginal & Oral,The classic spit-roast
No Difficulty Progression,Expedited shipping of the biggest toys to your tightest holes.
Inserted Vaginal Vibe,A toy that vibrates and stays in your pussy
Socks,"Socks go on feet (perhaps dirty, not necessarily yours)"
Writing,Write lines (choose which ones in Speaking & Writing) using a variety of methods. You will not be graded on legibility.
Off-hand Penis Stimulation,"She will occasionally tell you to use your off-hand to stroke your dick. Like switch-hitting, but your penis is the bat."
Two-hand Penis Stimulation,She will occasionally tell you to use both hands to stroke your dick. Whether they are both yours is up to you.
Insults,"Periodic insults about about the topics of your choosing. She talks shit, but you still get hit."
Heartbeats,"Adds an optional rhythmic element to the UI. For those that feel the need, the need for very precise speed."
Degrading Favor Names,Changes Favor Rank names. Ever wanted to get a high score in being a piece of shit?
No Pausing,Removes pause instructions from timed task switching. Ain't got time for games? You should probably stop playing one then.
Timed Task Minimum Switch,The minimum time an instruction lasts before a switch-up during timed tasks. Good if you read slowly - or if you just want her to calm the fuck down.
Time Limit,Set a range of time for the session to last between min and max.
Edge Limit,Won't end until she's satisfied you have edged enough times based on the range between min and max.
Her Choice,She will decide when the session ends. Keeping her in a good mood extends the session.
Endlessly Beg,She will periodically allow you to beg for the session to end.
Energy Drain,"Her energy will drain over time, requiring you to feed her by riding an edge. The session lasts until you press Oops during an energy drain."
Forced Orgasms,She will ask you to cum multiple times before considering the session a success.
Always Regular,Tasks involving this toggle will be considered neither reward nor punishment instead of their usual type.
Always Punishment,Tasks involving this toggle will be considered punishments instead of their usual type.
Always Reward,Tasks involving this toggle will be considered rewards instead of their usual type.
Experimental,Tasks involving this toggle will not penalize you for disobeying them. Good for - believe it or not - experimenting with something new.
Exclusively Layer,Interactions will only show up as layers on tasks (the Y part of Do X & Y)
Layer Always Available,"Interactions can show up as layers, even when the required toggles are off."
Never as Layer,Interactions will only show up as bases on tasks (the X part of Do X & Y)
Never Add Layer,"Interactions will never have a layer added on (there will only be Do X, no addition of & Y)"
Permanent Status,You will be considered to have this status on all session.
Interactions as Reward,These interactions can be used for certain reward tasks such as smothering or following the rhythm of her hips.
Heartbeat Metronome,Turns the Heartbeat animation on and off.
Heartbeat Sound,Turns the Heartbeat sound on and off.
Juices,"Smear your juices around, or lick them up. Usually genital fluids, but a beverage could serve as a refreshing treat instead."
Performance,"Show off for her, or for other CONSENTING people. NO UNSOLICITED DICK PICS!"
Lower Body,Never skip Leg Day. Due to the random nature of sessions this will not provide a structured workout.
Upper Body,Got tickets to the gun show? Due to the random nature of sessions this will not provide a structured workout.
Core,Got a 6-Pack? 8-Pack? 24-Pack!? You should probably see a doctor about that. Due to the random nature of sessions this will not provide a structured workout.
Cardio,Get your heart pumping as fast as your hand. Due to the random nature of sessions this will not provide a structured workout.
Yoga,Not to be confused with the jedi master. Due to the random nature of sessions this will not provide a structured workout.
Rattle,A toy that makes noise when you shake it (used with ABDL)
Belt,Not for keeping your pants up (Can be used for Impact Play by enabling the matching interaction in one of the Pain Kinks)
Leash,Usually attached to a collar (Can be used for Impact Play by enabling the matching interaction in one of the Pain Kinks)
Wet and Messy,Make a big mess of yourself
Massage Gun,More powerful than a Vibrator. The warning says not to put it inside yourself - which means people have definitely put it inside themselves.
Shackles,Connects your limbs together using a long connector. (Does not restrict your movement and thus task availability like cuffs do)
Creativity,She will ask you to make up new punishments or remember old ones.
No Intro Edging,Removes the warmup question asking if you want to start the session by edging.
One Way Size Progression,Stops smaller toys from showing up when your Ass/Vagina is warmed up enough to take larger ones. Disables Mood and Arousal Specific settings for Small/Medium/Large/Knotted Insertables and Plugs.
Vaginal Plug,A plug for a vagina (blocks access to vagina and clit)
No Rhythm Text,Removes the descriptive text from rhythm events.
Always Dom Name,Will use a Dom Name instead of just her name whenever possible.
Double Anal Insertable,You've had one yes. But what about second buttfast?
Double Vaginal Insertable,"Two toys, one cunt"
Double Oral Insertable,How many sausages can you swallow at once?
Cheats & Debug,Activates the debug menu in session to enhance testing and/or enable being a filthy fucking cheater. (DOES NOT disable favor or favorite sessions like other cheats)
Unlimited Favor,"Due to an accounting error the bank of Succuland has credited your account with UNLIMITED FAVOR. I won't tell them if you don't. (Disables accumulating favor and favorite sessions, your favor and favorite session count will be reset to 0 upon deactivation of this cheat)"
Unlimited Devotion,"Become the Archbishop of Succuland and show the heathens the power of your UNLIMITED DEVOTION. Wrath of Goddess not included. (Disables accumulating favor and favorite sessions, your favor and favorite session count will be reset to 0 upon deactivation of this cheat)"
Personality,Significantly impacts how your Succubus interacts with you. Click on individual ? to find out more about each slider.
Kinky,Affects: how commonly she gives you kinkier tasks. (Arousal level and session time are also considered for determining appropriate level of kink)
Sadistic,"Affects: punishing you just for fun, Mischievous becoming devious (guarentees punishments), making things harder instead of easier when you beg for mercy"
Moody,"Affects: rate of mood gain, chance of a bad mood becoming worse (Neutral > Angry > Furious), how long special moods last (Mischievous, Angry, Furious), "
Demanding,"Affects: chance of getting task layers (Do something & <i>layer</i>), chance of being assigned a new position immediately without a break"
Degrading,Affects: how often she degrades you (use the gear icon to select when you want to be degraded and what topics are allowed)
Praising,Affects: how often she praises you (use the gear icon to select when you want to be praised and what topics are allowed)
Teasy vs Thirsty,"Affects: arousal levels she will make you edge at (Teasy skews towards 2, Thirsty towards 4), chance of fake-out endings (Teasy), chance of more intense forms of edging (Thirsty)"
Serious vs Mischievous,"Affects: how often the Mischievous mood occurs, how often mischievous actions occur (increasing timers, asking you to keep count ect.), setting this slider to 0 (fully Serious) will prevent mischievous moods and behaviors completely"
Calm vs Wrathful,Affects: chance of a bad mood becoming worse (Neutral > Angry > Furious) - acts as a modifier on Moody and can prevent (at fully Calm) or guarentee (at fully Wrathful) more intense bad moods
Detached vs Yandere,"Affects: how soon until you are expected to return for your next session, whether she gets angry if you have fun without her, enables the Yandere event when slider is fully Yandere (Yandere be crazy - do not complain about her being unreasonable, we will just laugh at you)"
Forgiving vs Strict,"Affects: the mood threshold for disobeying to be considered ""bratty"", how long before she punishes brats, how often she will be merciful, how often she will forgive failure, how many mistakes cause a bad ending"
Silent vs Chatty,Affects: the rate of her speaking to you directly when praising or degrading you
Oral Toy,A toy (generally assumed to be penis shaped) that goes in your mouth.
Tickler,A toy for lightly stimulating yourself like a feather or brush (tickling is not actually required)
No Outfit Consequences,Consequences will not include options that change her outfit
Session Time Hardcap,Triggers the ending 5 minutes before this time. Skips teasing and ignores session types like Energy Drain. Does not work on Time Limit sessions.
Status Always Visible,Keeps the list of player status open at all times. Never again forget what form of pretzel you are supposed to be in.
Light Fog,Reduces the severity of the Fog consequence so you can keep your eyes on her at all times.
Prejac Session,"Try to finish as fast as possible, with as little stimulation as possible. Basically the golf of VS."
Gooning Session,Keeps you in the gooning state all session long (the majority of tasks will be edging).
Edging & Ruining,"Unsurprisingly, these settings relate to edging. Do you have what it takes to become an Edgelord? Also includes settings for random ruins during the session."
Basic Edging,Edge tasks will always be generic. Disables Punishment Edges. The basic bitch choice.
Layer Edging,Edge tasks will always be a generic base with a variable layer. (Edge while doing a handstand vs. Do a handstand until you edge)
No Timed Edging,"Edge tasks will always be untimed. If you don't perform well under pressure, this setting is for you."
Touchless Edging,"Edge tasks can be given even with the No Touching status, but will not override individual tasks that are restricted by it (such as Penis Stimulation). Ideally paired with Chastity Device."
Encouraged Edging,"She will not punish you for using the edge button, and will lower the cost of using it."
Edge as Punishment,Earning a punishment will also lead to edging.
Punishment Edges,Allows her to give you Punishment Edges (things that you have set the pleasure intensity to Punishment for).
Sensitivity Training,"Sessions will begin with low intensity tasks, increasing over time. Your mission, should you choose to accept it, is to get to the edge with as little stimulation as possible."
No Gooning,Removes the chance of initiating the gooning state. A terrible choice for archvillains.
No Edging Gooning,"Tasks during the gooning state will not require edging, but will still be picked the same way. Recommended for upbeat henchmen."
Disable Base Edging,This toggle will never be used as a base for edging. Does what it says on the box.
Disable Layer Edging,This toggle will never be used as a layer for edging. Does what it says on the can.
Layer Always Usable For Edging,Can be given as a layer for edge tasks regardless of whether or not this toggle is on for the session.
Only Use For Edging,This toggle will only be used for edge tasks.
Mind Control Tasks,Rephrases most tasks to be forced upon you via mind control. Totally real mind control.
No Latex,Removes Latex as an option for consequences (does not prevent you from requesting it yourself)
Disable Edging,"Disables Edging - were you expecting it to do something else? Does not stop Sensitivity Training, Prejac Sessions or Gooning Sessions."
Inverted Buttons,Swaps the position of positive and negative buttons.
Random Mood Start,"She will start the session in a random mood. Sometimes even virtual demons have a bad day, and she's gonna work it out on you!"
Volatile,Makes her prone to sudden extreme mood swings throughout the session.
One Toy Name Per Session,She will pick a single Named option for each toy per session - so you will just need to have your violet dildo on hand instead of the whole rainbow.
No Repeated Edging,Removes repeated edging followup prompts.
Hidden Stakes,Hides session stakes. It could be anything - kind of like a loot box.
Limited Safe Word,Using Safe Word a second time in the session will immediately end the session.
InteractionExplain,"Base and Layer indicates the first and second part of tasks, separated by &. You can also set the pleasure level, including Punishment (too much pleasure, used with Punishment Edging)"
Single Application Status,"Once this status is applied during the session, you will not be asked to remove it. You can still manually remove it like normal so don't be an idiot - remove it if you feel discomfort."
Orders,Simple and quick instructions that can interrupt other tasks. 
ORDERTYPEBREATH,"You know that thing you do all the time without even thinking about it? You are doing it right now? Yeah, stop doing that."
ORDERTYPEDROOL,"Let it flow, let it flow, Don't hold it back anymore..."
ORDERTYPEKEGELS,Flex your kegel muscles.
ORDERTYPEEYECONTACT,My eyes are up here.
ORDERTYPEAHEGAO,"From Wikipedia: Ahegao is a term in Japanese pornography for a facial expression of characters (usually women) during sex, typically with rolling or crossed eyes, protruding tongue, and slightly reddened face, to show enjoyment or ecstasy."
ORDERTYPEWHIMPER,A particularly subby sound.
ORDERTYPEBEG,What's the magic word?
ORDERTYPEMOAN,Express your pleasure in an audible manner.
ORDERTYPETHANK,You're welcome.
ORDERTYPEAPOLOGIZE,You probably did something to deserve it.
ORDERTYPEBARK,The dog says bark.
ORDERTYPEMEOW,The cat says meow.
ORDERTYPEOINK,The pig says oink.
